Cell_Quality	cell_count	site	plate	well	site_location	Metadata_dataset_split
Bad	3230	SABER_Plate_1-Well3-76	SABER_Plate_1	Well3	76	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1837	SABER_Plate_1-Well3-76	SABER_Plate_1	Well3	76	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1087	SABER_Plate_1-Well3-76	SABER_Plate_1	Well3	76	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1004	SABER_Plate_1-Well3-76	SABER_Plate_1	Well3	76	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3641	SABER_Plate_1-Well2-68	SABER_Plate_1	Well2	68	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	2292	SABER_Plate_1-Well2-68	SABER_Plate_1	Well2	68	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	884	SABER_Plate_1-Well2-68	SABER_Plate_1	Well2	68	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	622	SABER_Plate_1-Well2-68	SABER_Plate_1	Well2	68	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	582	SABER_Plate_1-Well2-68	SABER_Plate_1	Well2	68	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4088	SABER_Plate_1-Well1-96	SABER_Plate_1	Well1	96	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3291	SABER_Plate_1-Well1-96	SABER_Plate_1	Well1	96	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2966	SABER_Plate_1-Well1-96	SABER_Plate_1	Well1	96	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1116	SABER_Plate_1-Well1-96	SABER_Plate_1	Well1	96	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	723	SABER_Plate_1-Well1-96	SABER_Plate_1	Well1	96	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3546	SABER_Plate_1-Well6-28	SABER_Plate_1	Well6	28	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	2718	SABER_Plate_1-Well6-28	SABER_Plate_1	Well6	28	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2329	SABER_Plate_1-Well6-28	SABER_Plate_1	Well6	28	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1779	SABER_Plate_1-Well6-28	SABER_Plate_1	Well6	28	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1548	SABER_Plate_1-Well6-28	SABER_Plate_1	Well6	28	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4193	SABER_Plate_1-Well4-84	SABER_Plate_1	Well4	84	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3180	SABER_Plate_1-Well4-84	SABER_Plate_1	Well4	84	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1656	SABER_Plate_1-Well4-84	SABER_Plate_1	Well4	84	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	887	SABER_Plate_1-Well4-84	SABER_Plate_1	Well4	84	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	839	SABER_Plate_1-Well4-84	SABER_Plate_1	Well4	84	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	7221	SABER_Plate_1-Well5-56	SABER_Plate_1	Well5	56	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3964	SABER_Plate_1-Well5-56	SABER_Plate_1	Well5	56	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3521	SABER_Plate_1-Well5-56	SABER_Plate_1	Well5	56	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	2490	SABER_Plate_1-Well5-56	SABER_Plate_1	Well5	56	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	953	SABER_Plate_1-Well5-56	SABER_Plate_1	Well5	56	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4611	SABER_Plate_1-Well1-34	SABER_Plate_1	Well1	34	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3215	SABER_Plate_1-Well1-34	SABER_Plate_1	Well1	34	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1576	SABER_Plate_1-Well1-34	SABER_Plate_1	Well1	34	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	694	SABER_Plate_1-Well1-34	SABER_Plate_1	Well1	34	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	587	SABER_Plate_1-Well1-34	SABER_Plate_1	Well1	34	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3743	SABER_Plate_1-Well4-22	SABER_Plate_1	Well4	22	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3222	SABER_Plate_1-Well4-22	SABER_Plate_1	Well4	22	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2220	SABER_Plate_1-Well4-22	SABER_Plate_1	Well4	22	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1253	SABER_Plate_1-Well4-22	SABER_Plate_1	Well4	22	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1252	SABER_Plate_1-Well4-22	SABER_Plate_1	Well4	22	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3290	SABER_Plate_1-Well3-50	SABER_Plate_1	Well3	50	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	2588	SABER_Plate_1-Well3-50	SABER_Plate_1	Well3	50	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	742	SABER_Plate_1-Well3-50	SABER_Plate_1	Well3	50	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	575	SABER_Plate_1-Well3-50	SABER_Plate_1	Well3	50	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	568	SABER_Plate_1-Well3-50	SABER_Plate_1	Well3	50	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4574	SABER_Plate_1-Well2-42	SABER_Plate_1	Well2	42	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	2949	SABER_Plate_1-Well2-42	SABER_Plate_1	Well2	42	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1292	SABER_Plate_1-Well2-42	SABER_Plate_1	Well2	42	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	547	SABER_Plate_1-Well2-42	SABER_Plate_1	Well2	42	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	519	SABER_Plate_1-Well2-42	SABER_Plate_1	Well2	42	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	1796	SABER_Plate_1-Well1-70	SABER_Plate_1	Well1	70	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	1281	SABER_Plate_1-Well1-70	SABER_Plate_1	Well1	70	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	423	SABER_Plate_1-Well1-70	SABER_Plate_1	Well1	70	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	418	SABER_Plate_1-Well1-70	SABER_Plate_1	Well1	70	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	279	SABER_Plate_1-Well1-70	SABER_Plate_1	Well1	70	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4801	SABER_Plate_1-Well3-14	SABER_Plate_1	Well3	14	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3460	SABER_Plate_1-Well3-14	SABER_Plate_1	Well3	14	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2093	SABER_Plate_1-Well3-14	SABER_Plate_1	Well3	14	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	743	SABER_Plate_1-Well3-14	SABER_Plate_1	Well3	14	ALLBATCHES___SABER_Plate_1___ALLWELLS
